HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
cbb155892986a500d75907ab964bf26e67caee4e2fee16607e5e36a558c7c07d,efd511e7a6bb48fbff316406582068e230ca1ce80e7bfa67cf2e398acd43cb35,7bd7e2bf570cbfd6ebd72c628aa8bff1fc9627b8052d8960fd94609af575d663,75235,14.3,11.9,12.3,13.2,14.2,15.5,16.9,18.3,25.4
9ae854de13d40bb9082cfcc9cf9d5832431b5a532ec3d6f56a7705efaa58e8d9,fca2310ccf911080b19d6e90e80e63e4afdecb3ead06a09bbb3832558ec368f3,f3676eb37576dc5aeaacce9267aa0fc4360ec1e437cf2404a638c57dee55d89a,17238,13.2,12.8,13.0,13.1,13.2,13.3,13.5,15.0,15.1
6641a525ff49a5a47695d10f2347760569aac6a94b442ecd0b9527f9367d67b5,b602a90cb8ff998be304c3b3c0d755ae638062ca83dc4fe237cda67a2a1899f0,3d7322c54ad4c156f573c247ae7addef21e87b588712204d439465358c03d3bf,17303,198.0,189.0,190.0,192.0,201.0,204.0,206.0,206.0,231.0
07f58313aa95ffc4d64c9a6a8967a8a6adb416d6b2caf430c21b22378af1e525,f96e634eb2b18b9b608122195770dcfe4cbc000ee90e5c967940cb71cec002a5,731cb2669db506b18bfca33c1fe8f63a1bf8ed671bbeda51cd18ad783d2853eb,17237,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.25,26.375
2439e79ea1cbf793d2004e6f9f03e057fc31a56d83cf45cf732460daee41ddf1,7770498d108bbd395ef78d7b015138646a4d2360189017bb2005b57ddc8aa49e,57306ea8918aad5423bd2f6891b7899294f6b04baa2ce3afbf1459f84a91b15a,174005,12.25,10.4375,11.5,12.0,12.25,12.5,13.4375,14.25,23.25
3036a9d0dd2d44c4de43dce4c112d0e8ef9ddd449a16ad51d5fae474f0f1dd29,7acadb310f118ef21fec404097b3c6ab094cc949e922c7c12acc9f77b0ab22a0,d6c57e141ad0f564842c925b294ecaeee27cc45e9e40b751c49dbd6f08473aa7,17254,146.0,143.0,143.0,145.0,146.0,148.0,150.0,152.0,157.0
9fcbb1f65b7a4ab879a8d859539143d7df744dc002064a1003dc71d4f13197ac,15b0709658399d207f915d89197845a7c9619e6bce323e782d56ba1fbf52e8e2,541cacdef41a43ba09a99ee796820ab7f7a2c0aa56d85d884decbc67e49730ac,1422,47.0,34.0,36.5,42.5,46.0,47.5,86.0,94.0,103.5
a6b82195c5ff2c9ba59953c48ffe25d9ec092fb4874e0c3b23db18cc53c281d5,d906c244adc52b6fcb91495f0edf4841d67e0e257c90f4b140e5dc883644c097,d0c0307ce95c64bc5bc716aca3be6d75362001f49340eeae14c16eb17d0df249,35748,93.0,71.0,79.0,91.0,94.0,97.0,104.0,118.0,119.0
f5075844195b9181425b7e033558f92dcf70f712b99dc93b8cb55a6054c0fbd3,9edb01447605394005664fc11c299d95f608c4b5a9ee3077fff8aa2903bc8147,aaac1885a327e11e8314a9593a45cb7fd31005407135a37a99dc5a0e2e9e89ca,4029,42.0,37.333333333333336,39.66666666666666,41.0,41.66666666666666,42.333333333333336,47.0,47.0,47.0
e52647e6ac60a627a80ccfd15f2d222535dfc8ecb3c70c3ce8ca7f222c662cbc,f92425b09ca258ceb7b6fa1698242eb2bfb06227494ea98bef83ad4e33ee0201,0d255b3bbb644c12363e9ed270f79c6fbff87f3b5c5d38f4f04e07f6282d0b1a,28064,19.35,4.35,4.6,9.65,20.4,27.9,39.35,50.75,65.3
